First frame captured
0.7s: sim_to_first=97.21% avg_diff=1.954 sim_to_prev=97.21%
1.4s: sim_to_first=97.52% avg_diff=1.779 sim_to_prev=97.68%
2.0s: sim_to_first=97.61% avg_diff=1.783 sim_to_prev=98.17%
2.7s: sim_to_first=97.53% avg_diff=1.866 sim_to_prev=98.33%
3.3s: sim_to_first=97.38% avg_diff=1.994 sim_to_prev=98.24%
4.0s: sim_to_first=97.15% avg_diff=2.172 sim_to_prev=98.01%
4.6s: sim_to_first=96.68% avg_diff=2.505 sim_to_prev=97.39%
5.3s: sim_to_first=97.09% avg_diff=2.011 sim_to_prev=96.52%
5.9s: sim_to_first=97.41% avg_diff=1.841 sim_to_prev=97.35%
6.6s: sim_to_first=97.55% avg_diff=1.763 sim_to_prev=97.96%
7.2s: sim_to_first=97.55% avg_diff=1.823 sim_to_prev=98.20%
7.9s: sim_to_first=97.48% avg_diff=1.912 sim_to_prev=98.29%
8.5s: sim_to_first=97.34% avg_diff=2.035 sim_to_prev=98.20%
9.2s: sim_to_first=97.06% avg_diff=2.240 sim_to_prev=97.91%
9.8s: sim_to_first=96.60% avg_diff=2.573 sim_to_prev=97.23%
10.5s: sim_to_first=97.13% avg_diff=1.991 sim_to_prev=96.53%
11.1s: sim_to_first=97.46% avg_diff=1.811 sim_to_prev=97.51%
11.8s: sim_to_first=97.56% avg_diff=1.770 sim_to_prev=98.04%
12.4s: sim_to_first=97.56% avg_diff=1.835 sim_to_prev=98.25%
13.1s: sim_to_first=97.43% avg_diff=1.952 sim_to_prev=98.31%
13.7s: sim_to_first=97.26% avg_diff=2.092 sim_to_prev=98.12%
14.3s: sim_to_first=96.92% avg_diff=2.337 sim_to_prev=97.73%
15.0s: sim_to_first=97.33% avg_diff=2.095 sim_to_prev=97.59%
15.7s: sim_to_first=97.24% avg_diff=1.935 sim_to_prev=97.26%
16.3s: sim_to_first=97.51% avg_diff=1.781 sim_to_prev=97.72%
17.0s: sim_to_first=97.56% avg_diff=1.794 sim_to_prev=98.12%
17.6s: sim_to_first=97.56% avg_diff=1.847 sim_to_prev=98.30%
18.2s: sim_to_first=97.40% avg_diff=1.976 sim_to_prev=98.28%
18.9s: sim_to_first=97.20% avg_diff=2.140 sim_to_prev=98.05%
19.5s: sim_to_first=96.77% avg_diff=2.441 sim_to_prev=97.53%
20.2s: sim_to_first=97.12% avg_diff=1.977 sim_to_prev=96.54%
20.8s: sim_to_first=97.36% avg_diff=1.869 sim_to_prev=97.20%
21.5s: sim_to_first=97.54% avg_diff=1.763 sim_to_prev=97.89%
22.1s: sim_to_first=97.55% avg_diff=1.813 sim_to_prev=98.17%
22.7s: sim_to_first=97.52% avg_diff=1.880 sim_to_prev=98.29%
23.4s: sim_to_first=97.37% avg_diff=2.004 sim_to_prev=98.23%
24.0s: sim_to_first=97.14% avg_diff=2.184 sim_to_prev=97.99%
24.7s: sim_to_first=96.67% avg_diff=2.520 sim_to_prev=97.37%
25.3s: sim_to_first=97.09% avg_diff=2.012 sim_to_prev=96.50%
26.0s: sim_to_first=97.43% avg_diff=1.827 sim_to_prev=97.35%
26.6s: sim_to_first=97.56% avg_diff=1.761 sim_to_prev=97.99%
27.3s: sim_to_first=97.55% avg_diff=1.827 sim_to_prev=98.22%
27.9s: sim_to_first=97.48% avg_diff=1.914 sim_to_prev=98.29%
28.5s: sim_to_first=97.33% avg_diff=2.038 sim_to_prev=98.18%
29.2s: sim_to_first=97.05% avg_diff=2.246 sim_to_prev=97.90%
29.8s: sim_to_first=96.60% avg_diff=2.573 sim_to_prev=97.21%
30.4s: sim_to_first=97.13% avg_diff=1.989 sim_to_prev=96.51%
31.1s: sim_to_first=97.45% avg_diff=1.815 sim_to_prev=97.48%
31.7s: sim_to_first=97.56% avg_diff=1.766 sim_to_prev=98.03%
32.4s: sim_to_first=97.56% avg_diff=1.836 sim_to_prev=98.24%
33.0s: sim_to_first=97.46% avg_diff=1.939 sim_to_prev=98.31%
33.7s: sim_to_first=97.28% avg_diff=2.083 sim_to_prev=98.14%
34.3s: sim_to_first=96.93% avg_diff=2.328 sim_to_prev=97.75%
35.0s: sim_to_first=96.91% avg_diff=2.335 sim_to_prev=97.21%
35.6s: sim_to_first=97.23% avg_diff=1.948 sim_to_prev=96.83%
36.3s: sim_to_first=97.50% avg_diff=1.787 sim_to_prev=97.69%
36.9s: sim_to_first=97.55% avg_diff=1.790 sim_to_prev=98.10%
37.5s: sim_to_first=97.61% avg_diff=1.806 sim_to_prev=98.32%
38.2s: sim_to_first=97.41% avg_diff=1.969 sim_to_prev=98.33%
38.8s: sim_to_first=97.21% avg_diff=2.130 sim_to_prev=98.07%
39.5s: sim_to_first=96.80% avg_diff=2.419 sim_to_prev=97.57%
40.1s: sim_to_first=97.26% avg_diff=1.864 sim_to_prev=96.56%
40.8s: sim_to_first=97.31% avg_diff=1.896 sim_to_prev=97.12%
41.4s: sim_to_first=97.53% avg_diff=1.770 sim_to_prev=97.82%
42.1s: sim_to_first=97.56% avg_diff=1.810 sim_to_prev=98.15%
42.7s: sim_to_first=97.52% avg_diff=1.874 sim_to_prev=98.29%
43.3s: sim_to_first=97.38% avg_diff=1.993 sim_to_prev=98.24%
44.0s: sim_to_first=97.16% avg_diff=2.169 sim_to_prev=98.02%
44.6s: sim_to_first=96.70% avg_diff=2.490 sim_to_prev=97.43%
45.3s: sim_to_first=97.09% avg_diff=2.010 sim_to_prev=96.51%
45.9s: sim_to_first=97.40% avg_diff=1.847 sim_to_prev=97.29%
46.5s: sim_to_first=97.55% avg_diff=1.763 sim_to_prev=97.95%
47.2s: sim_to_first=97.55% avg_diff=1.822 sim_to_prev=98.20%
47.8s: sim_to_first=97.49% avg_diff=1.905 sim_to_prev=98.29%
48.5s: sim_to_first=97.34% avg_diff=2.027 sim_to_prev=98.20%
49.1s: sim_to_first=97.08% avg_diff=2.220 sim_to_prev=97.93%
49.8s: sim_to_first=96.61% avg_diff=2.564 sim_to_prev=97.26%
50.4s: sim_to_first=97.12% avg_diff=1.994 sim_to_prev=96.52%
51.1s: sim_to_first=97.46% avg_diff=1.812 sim_to_prev=97.47%
51.7s: sim_to_first=97.56% avg_diff=1.766 sim_to_prev=98.04%
52.4s: sim_to_first=97.56% avg_diff=1.832 sim_to_prev=98.25%
53.0s: sim_to_first=97.46% avg_diff=1.938 sim_to_prev=98.32%
53.6s: sim_to_first=97.28% avg_diff=2.077 sim_to_prev=98.15%
54.3s: sim_to_first=96.96% avg_diff=2.308 sim_to_prev=97.78%
54.9s: sim_to_first=96.66% avg_diff=2.537 sim_to_prev=97.07%
55.6s: sim_to_first=97.19% avg_diff=1.966 sim_to_prev=96.59%
56.2s: sim_to_first=97.49% avg_diff=1.796 sim_to_prev=97.63%
56.8s: sim_to_first=97.56% avg_diff=1.780 sim_to_prev=98.08%
57.5s: sim_to_first=97.61% avg_diff=1.807 sim_to_prev=98.33%
58.1s: sim_to_first=97.42% avg_diff=1.963 sim_to_prev=98.35%
58.8s: sim_to_first=97.24% avg_diff=2.111 sim_to_prev=98.09%
59.5s: sim_to_first=96.84% avg_diff=2.391 sim_to_prev=97.63%
60.1s: sim_to_first=97.26% avg_diff=1.857 sim_to_prev=96.60%
60.8s: sim_to_first=97.34% avg_diff=1.877 sim_to_prev=97.15%
61.5s: sim_to_first=97.54% avg_diff=1.763 sim_to_prev=97.87%
62.1s: sim_to_first=97.55% avg_diff=1.813 sim_to_prev=98.17%
62.8s: sim_to_first=97.50% avg_diff=1.891 sim_to_prev=98.28%
63.5s: sim_to_first=97.34% avg_diff=2.023 sim_to_prev=98.20%
64.1s: sim_to_first=97.08% avg_diff=2.227 sim_to_prev=97.93%
64.7s: sim_to_first=96.61% avg_diff=2.564 sim_to_prev=97.26%
